2023/12/07 17:22:43 569829	INFO [auto_smokephone.cc->Load_config:325]	domain_config:  jiayouzhan
2023/12/07 17:22:44 155238	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:2.31888,85.8191,161.775,122.178,score:0.922976class:car,camID:0
2023/12/07 17:22:44 155245	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:0.798812,322.951,182.161,339.57,score:0.86234class:car,camID:0
2023/12/07 17:22:44 155248	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:0.798812,322.951,182.161,339.57,score:0.86234class:car,camID:0
2023/12/07 17:22:44 155256	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:129.004,0.19715,433.036,189.429,score:0.989349class:truck,camID:0
2023/12/07 17:22:44 155260	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:129.004,0.19715,433.036,189.429,score:0.989349class:truck,camID:0
2023/12/07 17:22:44 155268	INFO [basePerson.cpp->mainfunc2:194]	BasePersonDetection: mainfunc2. input box:1247.6,12.6716,283.552,359.709,score:0.895587class:truck,camID:0
2023/12/07 17:22:44 155272	INFO [basePerson.cpp->mainfunc2:226]	BasePersonDetection: mainfunc2. box:1247.6,12.6716,283.552,359.709,score:0.895587class:truck,camID:0
2023/12/07 17:22:44 156381	INFO [featuretensor.cpp->doInference:295]	FeatureTensor:: doInference:imgMats.size5instanceID:0 camID:0
2023/12/07 17:22:44 170294	INFO [featuretensor.cpp->doInference:375]	FeatureTensor::predictor0 doInference:infer time:12ms,camID:0
2023/12/07 17:22:44 170346	INFO [featuretensor.cpp->doInference:295]	FeatureTensor:: doInference:imgMats.size3instanceID:0 camID:0
2023/12/07 17:22:44 174635	INFO [featuretensor.cpp->doInference:402]	FeatureTensor::predictor1 doInference:infer time:2ms,camID:0
2023/12/07 17:22:44 174977	INFO [featuretensor.cpp->doInference:295]	FeatureTensor:: doInference:imgMats.size2instanceID:0 camID:0
2023/12/07 17:22:44 178619	INFO [featuretensor.cpp->doInference:402]	FeatureTensor::predictor1 doInference:infer time:2ms,camID:0
2023/12/07 17:22:44 178760	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:work_clothe_yellow,0.755405,tid:-1  x, y, w,  h:907.828,183.587,59.3831,165.133, camID:0
2023/12/07 17:22:44 178765	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:person,0.89829,tid:-1  x, y, w,  h:1474.08,203.702,74.9574,181.12, camID:0
2023/12/07 17:22:44 178769	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:person,0.872977,tid:-1  x, y, w,  h:1555.71,205.721,76.885,188.105, camID:0
2023/12/07 17:22:44 178773	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:person,0.750308,tid:-1  x, y, w,  h:1214.77,180.394,54.5873,113.388, camID:0
2023/12/07 17:22:44 178777	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:person,0.746148,tid:-1  x, y, w,  h:1178.5,139.118,61.8392,150.264, camID:0
2023/12/07 17:22:44 178780	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:car,0.987299,tid:-1  x, y, w,  h:654.774,176.087,251.52,178.941, camID:0
2023/12/07 17:22:44 178784	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:car,0.922976,tid:-1  x, y, w,  h:2.31888,85.8191,161.775,122.178, camID:0
2023/12/07 17:22:44 178787	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:car,0.86234,tid:-1  x, y, w,  h:0.798812,322.951,182.161,339.57, camID:0
2023/12/07 17:22:44 178791	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:truck,0.989349,tid:-1  x, y, w,  h:129.004,0.19715,433.036,189.429, camID:0
2023/12/07 17:22:44 178794	INFO [basePerson.cpp->mainfunc2:352]	BasePersonDetection:mainfunc2:truck,0.895587,tid:-1  x, y, w,  h:1247.6,12.6716,283.552,359.709, camID:0
2023/12/07 17:22:44 178798	INFO [basePerson.cpp->detect:749]	BasePersonDetection: objects cnt:10camID:0
2023/12/07 17:22:44 178801	INFO [basePerson.cpp->detect:761]	BasePersonDetection: objects size.10camID:0
2023/12/07 17:22:44 178803	INFO [basePerson.cpp->detect:762]	BasePersonDetection:exit detect()camID:0
2023/12/07 17:22:44 178806	INFO [auto_smokephone.cc->main:590]	basePersonResult Detection successful
2023/12/07 17:22:44 178811	INFO [SmokePhone_new.cpp->detect:358]	SmokePhoneDetection: entered.camID:0

